Id,Size,HistoricalPrice,CurrentPrice
361,4037,293080,195310
362,4013,451664,233406
363,3413,367311,341755
364,2781,357351,524909
365,2810,100432,438136
366,3591,361550,179433
367,3696,169687,438077
368,2547,344288,588236
369,2930,434091,572452
370,3861,458468,339807
371,4958,413047,290842
372,4087,285221,481429
373,2152,318712,522265
374,1574,287840,534891
375,4180,427936,578487
376,2910,395583,354463
377,2012,264329,523826
378,4604,275746,390705
379,1669,413392,173439
380,1268,276443,507970
381,4233,329354,554317
382,2283,268369,242776
383,1923,134743,363391
384,2125,299824,531214
385,2529,179803,588133
386,2758,437261,504489
387,2594,301123,525067
388,1246,122076,495603
389,4711,341424,394361
390,4866,306384,361634
391,4908,350699,584412
392,2560,449627,304641
393,3178,234035,531742
394,3400,481361,322959
395,3243,244938,564109
396,4864,466648,500115
397,2939,263377,598520
398,1929,313968,273299
399,4737,467793,575615
400,4453,488388,398155
401,4069,394957,437380
402,3692,428873,366942
403,1226,366656,526823
404,3748,350703,592747
405,4547,247702,230570
406,4548,217907,246621
407,1264,305591,421586
408,2395,493852,468581
409,4557,496991,406411
410,2457,164591,490323
411,1645,309633,578285
412,3258,333559,354318
413,4643,373495,319632
414,4448,477544,585643
415,2418,220533,537752
416,2473,203627,214557
417,3990,228381,222752
418,2387,342264,358320
419,2899,457851,351513
420,3504,443822,198534
421,3772,173309,516447
422,4799,325074,309002
423,2249,372922,535439
424,1981,243573,370114
425,2154,474857,527431
426,1587,495324,419432
427,1475,136382,259570
428,2821,322426,507691
429,1985,437931,231122
430,4348,123341,342590
431,3203,245439,182400
432,4831,482111,534753
433,2241,326280,282639
434,1189,231066,197878
435,2440,300940,198850
436,1980,359252,544310
437,2698,185820,292207
438,2715,159949,491188
439,3593,310377,195113
440,1040,162543,208791
441,3354,389754,421828
442,1942,361878,504927
443,1337,304446,221727
444,2337,427370,495522
445,2098,407311,208552
446,4000,308851,289118
447,3326,259011,154934
448,4247,167381,327878
449,1895,408854,413498
450,4733,378910,254777
451,3320,202416,245352
452,3884,112780,404164
453,3667,148458,203046
454,2674,418365,523242
455,3909,363653,215064
456,4854,451637,469328
457,4930,478994,284035
458,1930,277946,177424
459,1288,131533,361111
460,1723,470288,284114
461,3940,484546,419283
462,3319,440611,423370
463,2953,363503,517378
464,2089,219119,495796
465,1482,321140,319180
466,1935,382488,220647
467,3295,480643,218617
468,1155,431922,310887
469,2070,382745,551018
470,2958,345840,323302
471,3501,288057,344444
472,3248,463157,394956
473,2683,348182,335092
474,1123,392926,298537
475,3048,211095,551210
476,1967,459267,153531
477,4830,406602,290415
478,1854,486369,380092
479,1639,239152,549445
480,3238,265029,506455
481,2602,458332,373374
482,3563,326952,232124
483,1441,221292,325861
484,2944,190570,194069
485,2838,223791,383470
486,2829,487435,368474
487,3190,460519,552740
488,4262,138314,271907
489,1532,332061,406000
490,3274,305993,238074
491,2336,471024,258345
492,4700,462470,367834
493,1948,246903,551319
494,4373,483170,204203
495,4725,424595,296162
496,3019,145708,165915
497,1459,379826,453621
498,4472,464550,338059
499,1550,266866,596454
500,1392,421516,528884
501,4938,139477,272217
502,2787,269809,296101
503,1844,233692,377439
504,4278,334241,239067
505,3257,353105,203520
506,2138,266129,220053
507,4808,310462,201464
508,1645,153024,303033
509,4322,275183,570051
510,3266,255146,570941
511,3454,117824,437501
512,2466,493981,282316
513,4674,459295,217952
514,2377,148926,198061
515,3935,267932,418634
516,3605,375119,227219
517,3597,437021,538449
518,1141,324749,417983
519,3659,440014,174992
520,1500,345453,263154
521,1839,181371,404166
522,3749,257620,326010
523,4618,463114,405087
524,2682,198066,468393
525,2565,269808,587951
526,3046,161562,253313
527,4917,402553,462878
528,2530,371978,328152
529,1595,202192,355532
530,2904,100840,275626
531,1280,310481,436404
532,1423,131568,340679
533,3903,372990,211852
534,1269,236971,178380
535,1153,186038,221257
536,3661,297173,322263
537,2750,229789,417074
538,1661,469604,547569
539,2967,174723,551048
540,1082,338755,330626
541,4693,466338,369559
542,3994,473561,466161
543,3946,497527,395824
544,2449,340822,594605
545,2298,156888,354378
546,4784,403760,306597
547,3331,283206,230630
548,1979,368227,349283
549,3220,243670,181280
550,4398,444620,274130
551,4789,192416,292312
552,4134,364724,418688
553,4144,222834,339053
554,3810,212148,560548
555,2659,288467,307908
556,2398,404465,426532
557,1632,371530,394335
558,2531,415315,151694
559,1786,250594,277727
560,3990,296604,500346
561,4059,493887,263057
562,1397,133545,461438
563,2143,285151,188769
564,1933,388999,582636
565,2460,135790,525433
566,2852,151012,252885
567,3723,217827,187855
568,3983,360123,282532
569,3512,114260,197646
570,1285,296211,584468
571,1264,363218,553051
572,3367,240547,263947
573,3720,309486,160910
574,4447,246192,232757
575,3867,364130,377961
576,3136,340201,385222
577,2677,263502,420607
578,2226,338569,294408
579,1820,155479,176534
580,2762,492977,283441
581,4048,364320,568597
582,3381,184258,524440
583,3269,339423,497238
584,1040,477332,500049
585,2731,184153,437551
586,1067,292990,474696
587,1987,359642,317011
588,2799,333984,242303
589,3561,177442,409153
590,4944,402146,569386
591,4708,157124,221908
592,4693,499826,274506
593,2621,411896,434513
594,2655,359488,587760
595,4198,178947,418044
596,2278,481116,190733
597,1694,436860,499380
598,4087,372217,387841
599,3524,399395,281661
600,2085,196496,472188
601,3928,302509,351671
602,3479,401041,497697
603,2693,413760,364982
604,3315,362037,500579
605,2058,366626,199008
606,1778,470134,216794
607,4647,322036,229134
608,1493,270646,546082
609,2585,405428,465034
610,2492,435076,527403
611,2790,369482,584720
612,1660,273790,596590
613,2348,243572,441548
614,2327,242617,477367
615,2299,161480,412781
616,4940,236313,371224
617,2986,320386,515330
618,4755,104695,427972
619,4060,308138,334616
620,3044,114318,251976
621,4272,413078,195097
622,4516,483426,263271
623,2928,283744,444166
624,2347,191891,182202
625,2058,324757,178704
626,1976,168754,241411
627,1481,447821,279688
628,1727,464464,173641
629,3527,496053,449623
630,4136,487405,359843
631,2031,467482,434171
632,4372,140077,455056
633,1342,442059,520371
634,4502,235311,352546
635,2447,341504,278773
636,3379,391813,259658
637,3485,410768,192692
638,4659,437291,248884
639,3221,235222,182209
640,3606,242181,338635
641,1526,330822,468882
642,2896,257088,449386
643,1658,243008,553157
644,3073,242108,550289
645,1819,245093,257966
646,3652,399087,318899
647,1405,213694,327297
648,3279,334456,318168
649,3580,312079,331618
650,4890,344269,478601
651,2573,345385,541401
652,2811,223351,480453
653,1504,401129,236496
654,4740,494718,311340
655,1178,415980,366426
656,1131,461858,386109
657,2846,103770,260078
658,2478,405009,585294
659,3395,153811,414009
660,3587,366145,246242
661,1771,160848,441031
662,2429,152635,593092
663,3123,120946,508191
664,1578,195852,314551
665,3901,453247,278863
666,2515,405888,190478
667,1193,217729,569617
668,3007,270231,309574
669,2185,385815,400840
670,3394,247522,523894
671,3998,419957,425538
672,2384,196748,379766
673,2792,339292,290334
674,4655,204733,154487
675,2110,226865,308413
676,4333,445695,408432
677,3261,491479,258924
678,4736,401364,411196
679,4793,379302,556786
680,2936,443136,207268
681,3620,162576,179605
682,1779,450171,221602
683,1261,255260,307795
684,1729,323687,350180
685,1282,420974,490350
686,4719,235091,243375
687,2490,112419,591923
688,4451,133697,330100
689,1361,447076,506081
690,4520,481856,206921
691,1440,195428,472904
692,3140,239045,291321
693,2644,339073,217847
694,3800,186649,247547
695,1866,484793,455983
696,2447,373280,386149
697,1141,446883,189673
698,2314,424646,153642
699,2455,262357,549554
700,3796,385183,463905
701,2875,428864,159622
702,2847,223168,198423
703,2712,188263,192873
704,3700,159155,385616
705,1700,116911,197565
706,1997,100916,288878
707,3096,421196,412901
708,2325,332695,564686
709,1880,379934,156220
710,2213,498422,520552
711,2159,221937,241851
712,1554,185053,335826
713,1403,412094,505473
714,1891,478355,277636
715,3912,418505,565721
716,1601,423595,440432
717,2830,399840,224492
718,1340,202395,431253
719,4828,486265,399128
720,2968,408872,546713
721,1703,417545,207326
722,1317,297298,159864
723,3665,125103,374589
724,2386,357777,499706
725,4893,412188,224310
726,3429,157730,531598
727,3280,125825,393415
728,2800,307328,433161
729,2367,137271,545037
730,2572,177256,200337
731,1816,166433,588701
732,1552,313702,233557
733,4600,201999,337460
734,1855,332062,160372
735,2812,123572,250050
736,3866,138546,506082
737,4642,416309,483477
738,1182,425834,428427
739,4112,306271,190857
740,2574,136948,463916
741,1396,389151,340742
742,2727,200819,354205
743,3826,453351,245856
744,2517,438916,574477
745,4730,122024,338226
746,1906,343480,418251
747,2356,182912,372368
748,3174,355233,447705
749,4629,333746,357746
750,4628,361139,316340
751,1000,447625,574824
752,4239,450697,163138
753,4691,232828,580909
754,1018,331749,406697
755,4403,202488,364072
756,1583,196741,274143
757,1455,289123,302320
758,4004,331773,383829
759,3036,440354,430776
760,2132,274166,197547
761,4339,318961,424244
762,3492,497751,460074
763,4311,147367,357977
764,2952,338544,465169
765,4372,159884,228944
766,3649,244352,594056
767,3150,464716,562585
768,1987,153251,561676
769,4321,184821,241641
770,4524,183583,246920
771,1519,344697,544677
772,4224,110207,192362
773,1858,302199,440754
774,1173,127757,516478
775,2366,251328,302067
776,4741,395966,419861
777,4052,362070,359939
778,3478,141340,360544
779,1726,342955,214022
780,4760,405495,334740
781,2710,468455,201645
782,2875,175320,441694
783,3897,464709,546792
784,2681,382081,190868
785,2347,373363,248039
786,1989,109399,327452
787,4744,226733,548944
788,3686,329920,444944
789,1419,382191,160886
790,1593,331615,350981
791,3532,185693,328308
792,4730,200931,195805
793,2774,275963,444676
794,3459,237852,262765
795,1935,389194,178688
796,2107,173551,554279
797,2136,430810,435233
798,4808,324691,599158
799,1331,182016,595045
800,4449,213135,593769
801,4826,153010,183585
802,3702,332084,340076
803,3088,138165,400322
804,2793,373672,400483
805,1958,482984,152438
806,4868,280680,505239
807,1104,499130,566428
808,1201,137136,331434
809,3497,448152,298055
810,2842,112076,426170
811,2866,486055,532312
812,2996,255855,463142
813,2289,478769,598960
814,1909,277788,469157
815,1209,150298,201039
816,1562,416448,330903
817,4189,441504,315675
818,3760,169835,256446
819,4448,212424,510596
820,4622,239190,556321
821,2563,354394,381120
822,1770,419055,479326
823,4155,203088,202147
824,3501,115185,402403
825,3714,150613,225400
826,1628,341084,196434
827,4585,264999,176515
828,2628,362530,370370
829,2701,392164,208001
830,1386,142678,339469
831,2935,317767,342487
832,4421,161394,560176
833,3343,300017,521735
834,3305,215377,374215
835,2104,221716,457922
836,1267,287486,312013
837,3466,155918,245849
838,3282,342556,515227
839,2856,477784,584171
840,4382,260527,359637
841,4884,466590,513420
842,2998,269807,469052
843,4033,194702,399708
844,2380,205509,598912
845,2236,455752,561645
846,1573,214310,506192
847,1048,407946,357748
848,2150,299092,397387
849,1222,134622,295919
850,3968,209935,328263
851,4350,360440,446400
852,2431,217919,539169
853,2528,495813,571990
854,4365,272026,277343
855,2819,169519,159127
856,3324,287187,268251
857,2461,356587,309277
858,2130,248112,389282
859,2681,144772,493307
860,3467,222431,339836
861,3658,458234,530423
862,4500,294904,251824
863,1374,258988,188664
864,3120,407015,206795
865,3021,388516,271729
866,4705,139080,313405
867,2053,206242,394620
868,4259,404866,186079
869,4435,129048,234225
870,2889,185205,174259
871,2823,416855,438715
872,2474,267403,201119
873,3242,356392,420153
874,2179,120968,260210
875,4243,334417,473973
876,3894,111292,450374
877,2064,351942,261364
878,4134,441603,468193
879,3070,349004,513906
880,1359,412336,535417
881,4146,184193,531610
882,3607,169165,317570
883,3719,429794,269053
884,3041,492002,572036
885,4896,201398,583531
886,2141,322182,507162
887,2635,460029,444939
888,2403,253329,263812
889,2943,200588,235411
890,1678,465500,451335
891,4361,352822,335525
892,3487,445653,162453
893,4739,322345,270848
894,3980,413816,593541
895,1006,308655,592706
896,4267,384257,526309
897,3468,362838,199993
898,2591,115588,522924
899,1832,292828,195706
900,4264,342431,323889
901,3606,345456,241434
902,4219,292214,336782
903,2810,164373,200799
904,4740,447747,269586
905,4273,106704,210964
906,4515,140136,596894
907,1913,167507,352222
908,3011,147361,509523
909,2442,420991,341510
910,2450,468503,259987
911,4054,242513,474070
912,2502,481050,153801
913,4546,114677,584264
914,1125,389962,452288
915,3442,364012,506622
916,1816,183591,291220
917,3928,486106,262364
918,2829,429408,494963
919,1575,173168,300933
920,3372,243115,303552
921,2415,171939,168637
922,1929,377876,456765
923,4759,417388,197431
924,4699,371484,249937
925,2463,335560,468316
926,4275,384538,175437
927,4557,460701,551365
928,1832,235174,557887
929,2054,119159,173119
930,4459,222366,327189
931,2648,296164,380389
932,2900,368356,559495
933,2457,399549,480979
934,3884,492776,380882
935,3973,439205,407157
936,2399,456440,548019
937,4415,417330,210805
938,1442,341876,168201
939,4650,324065,407636
940,3122,485289,178634
941,1556,110532,557976
942,4843,310126,554042
943,4737,316351,498965
944,2178,428684,457919
945,4501,203021,538690
946,3037,365415,264090
947,1362,100209,224676
948,3495,322071,156798
949,2257,236611,227160
950,4634,382121,227751
951,2841,305214,332482
952,3309,209920,453032
953,2850,490300,461191
954,3172,461732,521784
955,1910,430828,514758
956,1244,330144,195955
957,1541,486006,393465
958,3532,367751,545198
959,3169,316194,314936
960,3172,456930,533442
961,2572,488550,235490
962,3217,283011,451409
963,1123,249666,196313
964,4940,107399,194350
965,4106,226812,296450
966,4158,198662,521312
967,3693,395761,399406
968,2731,238570,398179
969,1785,464970,350887
970,3043,348304,440068
971,3248,491995,494737
972,3416,473221,529634
973,1796,412768,157312
974,1076,371772,442497
975,1058,493545,263744
976,3478,400763,381745
977,3685,107032,367522
978,2523,279166,428336
979,2936,400178,298522
980,3156,202658,286504
981,4807,483267,338297
982,4055,448302,508692
983,2301,155264,248991
984,1067,194120,228711
985,4140,147850,346676
986,4236,104722,291367
987,4560,379916,156774
988,3352,448249,265107
989,2932,104576,293262
990,3721,257779,574502
991,1364,461548,357397
992,4925,141476,378552
993,1820,348292,222427
994,2402,386298,237513
995,3390,379309,476158
996,1946,114439,376959
997,3946,480355,356924
998,2577,144518,467400
999,2377,319123,409549
1000,2439,126962,399652
1001,4180,339157,248743
1002,4634,399907,339702
1003,1761,216189,396968
1004,4568,210290,503334
1005,1340,472958,463859
1006,3989,381608,157466
1007,1382,223980,407575
1008,2003,327021,429781
1009,2556,264342,542568
1010,1299,142299,218745
1011,1138,316877,186317
1012,1358,131541,330838
1013,1835,435689,284150
1014,2522,323070,570515
1015,4456,229188,382866
1016,2627,308150,153543
1017,2982,391909,534934
1018,2303,385913,201052
1019,4708,319073,172064
1020,3530,120156,222287
1021,1908,316908,230442
1022,2134,244507,270550
1023,3913,300722,164425
1024,3186,277408,463625
1025,1995,173631,227347
1026,3482,400053,222317
1027,3556,169487,200530
1028,3320,409799,493243
1029,4170,342735,438032
1030,4835,295254,308563
1031,4921,151786,575568
1032,3151,168304,302748
1033,2237,465750,477980
1034,2784,277586,318535
1035,4735,220938,522622
1036,3809,443125,461134
1037,3834,155107,236544
1038,1164,345191,213627
1039,1998,232232,563437
1040,4924,450041,396037
1041,3567,172577,375942
1042,2307,315375,278345
1043,3564,360933,222843
1044,1656,204180,594529
1045,3660,382068,179251
1046,3211,473337,589802
1047,2909,244954,380765
1048,4730,311346,224418
1049,3046,101095,597100
1050,3111,466349,464764
1051,4162,272055,160040
1052,2140,114123,326950
1053,2889,297687,549185
1054,1266,407422,163162
1055,2845,460055,215435
1056,2708,151999,411989
1057,4630,393297,268504
1058,4211,380488,486811
1059,3293,330849,540802
1060,4732,137656,155037
1061,4829,301587,472670
1062,3442,360587,500058
1063,2510,363356,295765
1064,1475,220385,504306
1065,4588,240073,209090
1066,1976,178784,545667
1067,2207,460867,215560
1068,2043,443288,549178
1069,2960,131368,501696
1070,1557,301891,428588
1071,2017,161160,452587
1072,4595,256926,297578
1073,2605,372859,581600
1074,4600,158784,509373
1075,1882,491337,524458
1076,3194,461788,174248
1077,1665,126797,589378
1078,4375,409717,323762
1079,3667,438264,539665
1080,2771,114780,393824
1081,3867,137905,218008
1082,1863,216049,472453
1083,1581,229651,193237
1084,4070,133359,539111
1085,1694,428206,578948
1086,4833,173391,420248
1087,2251,405607,233230
1088,4173,199596,502410
1089,2610,347414,184980
1090,4488,457162,411057
1091,2239,378715,224990
1092,3454,250214,320632
1093,1398,387248,421698
1094,2946,108625,503193
1095,1714,401343,327059
1096,1703,482869,312057
1097,3808,393362,198167
1098,3546,275544,397605
1099,4825,454060,321500
1100,4536,223182,479382
1101,2714,120566,396150
1102,2972,133205,343795
1103,4021,209084,167038
1104,4802,129717,565435
1105,1081,281056,547487
1106,1603,469436,439541
1107,2970,259236,224491
1108,2710,400706,179602
1109,3046,120169,204471
1110,4822,383748,343222
1111,3819,451814,587443
1112,1902,476749,509225
1113,1364,450882,173116
1114,1162,493900,418818
1115,4119,228140,560685
1116,3558,202537,417590
1117,4400,346337,274809
1118,2863,211301,432904
1119,1115,370151,151963
1120,3988,477059,520425
1121,4920,331704,357074
1122,3384,217419,308334
1123,1880,403931,155177
1124,3784,411726,161160
1125,4935,305863,515020
1126,1839,328870,157543
1127,3194,445773,519355
1128,4646,367926,189278
1129,4877,166770,572823
1130,2346,157645,366907
1131,3490,203509,298293
1132,3884,330796,546539
1133,2036,391348,464249
1134,1942,117152,388913
1135,4565,338972,488295
1136,2724,452699,405980
1137,3334,316096,479112
1138,3767,333731,566454
1139,2137,381833,387031
1140,3527,281762,475974
1141,1021,445395,486111
1142,4420,288392,289402
1143,2749,287163,325225
1144,1682,468709,420755
1145,4906,138712,426016
1146,4637,357387,461599
1147,3953,336502,447074
1148,2833,296349,484166
1149,3367,411776,212714
1150,1125,120478,274906
1151,1276,122551,591932
1152,2999,148068,520866
1153,2227,193608,478848
1154,3241,135561,150415
1155,4752,233964,226441
1156,4735,386539,261736
1157,4618,118756,220779
1158,1695,347652,373628
1159,2309,351227,500588
1160,1056,428477,254448
1161,4805,280378,422032
1162,4374,252418,326371
1163,4234,475705,274790
1164,1018,390168,208765
1165,4441,326022,343786
1166,3311,105947,165935
1167,3841,227192,485146
1168,1112,357591,492775
1169,4559,456382,151320
1170,4398,429572,458176
1171,1541,425499,227763
1172,3694,492102,561123
1173,1578,358492,450146
1174,2088,338826,588054
1175,4363,244490,188912
1176,1024,326494,412696
1177,2572,331391,170140
1178,3048,286256,235591
1179,3958,498049,329809
1180,2572,345318,183367
1181,1140,272905,361706
1182,2767,493781,174061
1183,1647,118402,508734
1184,4972,273917,454268
1185,3235,175851,588854
1186,4199,112834,545198
1187,1200,167850,528466
1188,4198,137180,518278
1189,1256,497099,447909
1190,4747,209688,494750
1191,1546,306659,508566
1192,3241,468664,259910
1193,3750,373839,466825
1194,4175,227135,474493
1195,4606,254195,250063
1196,4336,158481,213474
1197,1801,173438,310585
1198,1941,211491,434736
1199,4455,221844,524340
1200,4331,457054,435762
1201,1413,156494,201632
1202,3014,409122,558625
1203,2381,479989,159529
1204,2098,492765,534308
1205,4426,307167,174154
1206,4655,154672,182882
1207,4842,161821,194917
1208,1909,445805,232488
1209,1187,169224,165701
1210,4756,451549,356353
1211,3015,334745,370943
1212,2313,154796,218225
1213,3092,228554,531422
1214,4644,485921,333564
1215,3130,366167,152988
1216,2146,345358,185919
1217,1357,313708,329498
1218,2551,267807,333239
1219,2089,435103,159013
1220,3983,139218,582329
1221,2680,329766,284646
1222,3422,390604,379088
1223,1161,486723,157838
1224,4817,426824,181368
1225,4451,131017,182228
1226,4727,454182,397368
1227,4429,119515,592927
1228,4259,308106,458241
1229,3369,395145,336845
1230,1449,101391,571855
1231,2497,296278,558039
1232,2036,209388,304582
1233,3231,404359,279802
1234,3158,179720,450477
1235,2950,389258,416579
1236,3555,242954,450562
1237,2313,475286,207955
1238,3342,248345,471651
1239,4522,468350,201033
1240,3951,145647,367161
1241,2238,295964,485116
1242,1973,142679,252012
1243,1631,362571,197219
1244,4965,328024,315549
1245,2590,491813,323793
1246,2050,166267,348300
